feature,importance_mean,importance_std,frequency_mean,frequency_std,green_low,green_high,green_low_std,green_high_std,red_low,red_high,red_low_std,red_high_std,group,green_valid,red_valid,green_red_overlap
Night_work,4.625,1.0606601717798212,2.5,1.1952286093343936,0.0,2.75,0.0,1.7525491637693282,6.25,259.375,4.652188425123938,456.66052959032305,core,True,True,False
After_hours_communication,4.5,0.7559289460184544,3.125,0.6408699444616557,1.25,42.5,3.5355339059327378,49.56957592256421,80.625,371.0,78.21387801589763,404.9292707198558,core,True,True,False
Weekend_activity,4.375,1.0606601717798212,2.875,0.9910312089651149,0.0,2.25,0.0,1.164964745021435,5.375,257.75,2.559994419636775,457.58301354586393,core,True,True,False
Backlog_size,4.25,0.7071067811865476,3.625,0.9161253813129043,2.75,13.375,2.49284690951645,5.578978401105349,24.5,293.5,12.444160994504324,439.6043675852186,core,True,True,False
Long_days,4.125,1.1259916264596033,2.75,0.8864052604279183,0.0,3.0,0.0,1.1952286093343936,6.75,258.75,3.4121631178560534,456.925673855794,core,True,True,False
Reopened_tasks,4.125,0.6408699444616557,3.0,0.9258200997725514,1.0,9.125,2.8284271247461903,10.13392463813643,15.875,276.375,13.054145482784934,446.3224130923423,secondary,True,True,False
Zombie_logged_in_state,4.0,0.9258200997725514,2.75,0.8864052604279183,0.25,4.625,0.7071067811865476,2.2638462845343543,9.375,271.5,5.730557190560593,449.55565363399194,secondary,True,True,False
Context_switching,3.875,0.6408699444616557,3.875,1.1259916264596033,8.75,33.625,8.345229603962801,27.77428152600377,63.875,355.375,64.7201392811498,441.9430918439289,secondary,True,True,False
Meeting_density,3.75,0.8864052604279183,3.875,1.1259916264596033,10.0,31.25,9.258200997725515,25.59994419636775,53.25,316.0,47.04025631611412,432.56576708882415,secondary,True,True,False
Error_bug_rate,3.75,0.7071067811865476,2.875,0.6408699444616557,0.0,3.875,0.0,1.4577379737113252,9.125,266.375,5.0832357523811265,452.58714630444376,secondary,True,True,False
Sick_leave_frequency,3.75,1.0350983390135313,2.25,0.7071067811865476,0.0,2.75,0.0,1.9086270308410553,5.625,259.375,3.1594529363709247,456.53913539022824,secondary,True,True,False
Work_time_VS_clock_in_out,3.625,0.9161253813129043,3.375,1.1877349391654208,0.025000000000000022,4.075,2.701719029485804,4.137891112286892,-4.6000000000000005,6.7625,14.314228685372566,13.47886573227033,secondary,True,True,True
Break_frequency,3.625,0.5175491695067657,3.75,0.7071067811865476,26.25,50.25,23.26094212561969,37.74633378602105,3.875,15.625,5.866064633612068,5.629958132298016,secondary,True,True,True
Reactive_meeting_load,3.625,0.9161253813129043,3.125,0.8345229603962802,0.68125,5.09375,1.7521288072350323,6.532142368976003,11.993749999999999,269.41875,16.42581673333606,452.0488689902422,secondary,True,True,False
PTO_usage,3.625,0.9161253813129043,2.375,0.9161253813129043,0.625,6.375,0.7440238091428449,3.8890872965260113,5.625,8.375,7.763237542601485,11.636610945018067,secondary,True,True,True
Irregularity,3.5,0.9258200997725514,2.875,0.9910312089651149,0.0625,11.25,0.1767766952966369,12.349089035228468,21.25,279.875,22.147234590350102,445.3388557363611,secondary,True,True,False
Task_completion,3.5,0.5345224838248488,4.25,0.8864052604279183,12.125,36.125,8.47580590352833,25.914350685065823,26.375,71.25,41.396816647798275,135.16524278505497,secondary,True,True,True
Notification_load,3.5,0.7559289460184544,3.75,1.2817398889233114,27.5,102.5,35.35533905932738,136.43836913210512,209.875,687.25,407.9847467386846,1379.7014946305285,secondary,True,True,False
Communication_variability,3.375,0.7440238091428449,3.25,0.7071067811865476,-75.625,86.875,116.60181020403218,107.86689880191632,-101.25,232.5,302.1559436544552,263.26249800748843,secondary,True,True,True
Meetings_missed,3.25,0.8864052604279183,2.5,0.5345224838248488,1.25,11.75,3.5355339059327378,17.35964120761552,16.375,278.875,19.537052709439788,445.5848283836808,secondary,True,True,False
